item-name,price,brand,rating,number of reviews
Men's Air Force 1'07 Shoes Basketball,$97.99,Nike,4.6,10367.0
Dunk Low Mens Sneakers,$84.95,Nike,4.6,2692.0
Men's Air Jordan 1 Low Shoes,,Men's Air Jordan 1 Low Shoes,4.6,248.0
Men's Formation Gymnastics Shoe,$69.99,Nike,4.4,29687.0
Men's Style#: 942836-002,$72.00,Nike,4.4,176.0
Free Metcon 6 Men's Workout Shoes,$109.99,Nike,4.4,203.0
Men's Sneaker,$119.99,Nike,4.1,50.0
Men's Charged Assert 10 Running Shoe,$62.36,Under Armour,4.5,15040.0
Men's Low-Top Sneaker,$159.00,Nike,4.4,6798.0
Men's Running Shoe,$74.98,Nike,4.5,760.0
Men's Sneaker,$99.99,Nike,4.4,3071.0
Full Force Low Men's Shoes,$61.61,Nike,4.5,581.0
Men Running Shoe,$103.09,Nike,4.2,64.0
Mens Free Rn 2018 Running Shoe,$122.00,Nike,4.5,6658.0
Pegasus 41 Men's Road Running Shoes,$85.32,Nike,4.6,112.0
Men's Kaptir 3.0 Shoe,$51.27,adidas,4.5,3125.0
Men's Running-Shoes,$84.87,Nike,4.4,725.0
Men's Gymnastics Shoes Sneaker,$69.98,Nike,4.3,207.0
Men's Daily 3.0 Sneaker,$37.00,adidas,4.6,15648.0
Men's Gymnastics Shoes Sneaker,$120.53,Nike,4.5,79.0
JORDAN Men's Gymnastics Shoes Sneaker,$73.06,JORDAN Men's Gymnastics Shoes Sneaker,4.6,5059.0
Zoom Vomero 5 Men's Shoes,$80.53,Nike,4.4,52.0
Men's Downshifter Sneaker,$59.03,Nike,4.5,3203.0
Men's Shoes Sneaker,$59.99,Nike,4.5,2791.0
"Men's Sneaker, 9 US",$66.98,Nike,4.3,166.0
Men's Basketball Shoe,$89.79,Nike,4.5,404.0
Sneaker,$69.70,Nike,4.4,3144.0
Air Jordan 1 Mid Men's Shoes,$99.97,Nike,4.6,570.0
"Men's Running Shoes, 0",$112.00,Nike,4.6,54.0
Men's Stroke Running Shoe,$68.00,Nike,4.5,4068.0
Men's Energy Afterburn,$58.96,Skechers,4.4,53100.0
SB Chron 2 Canvas Men's Sneakers,$73.85,Nike,4.2,127.0
Basketball Shoe,$109.00,Nike,4.6,9151.0
Men's Air Jordan 1 Low Shoes,,Men's Air Jordan 1 Low Shoes,4.6,248.0
"Men's Low-Top Sneakers, 9 US",$68.95,Nike,4.4,354.0
"Air Max 90 Premium, Men's Trainers",$127.25,Nike,,
Men's Sneaker,,Nike,4.6,7514.0
Men's Sneaker,$49.00,Nike,4.2,196.0
Men's Grand Court 2.0 Tennis Shoe,$50.00,adidas,4.7,6078.0
Men's Court Vision Lo Sneaker,$80.00,Nike,4.5,9320.0
Men's V5 Runner Sneaker,$78.20,Nike,4.1,12.0
Men's Dunk Low Retro Se Sneaker,$98.00,Nike,4.7,47.0
"Men's Sneaker, 0",$79.77,Nike,4.4,1373.0
Men's Sneaker Three Quarters Tall,$65.00,Nike,4.3,319.0
Men's Tazon 6 Cross-Training Shoe,$64.95,PUMA,4.5,16227.0
Men's Running/Jogging Walking Shoe,$64.27,Nike,4.3,322.0
Men's Air Max Excee Shoes Sneaker,,Nike,4.4,704.0
Men's Sneakers,$59.94,Nike,4.3,386.0
